,Date,Time,Type,Fee,Amount,Status
108,09/29/2018,18:52:32,Withdrawal,$     2.50,$   100.00,Approved
109,09/29/2018,08:41:46,Withdrawal,$     2.50,$    80.00,Approved
110,09/29/2018,12:37:00,Withdrawal,$     2.50,$   200.00,Approved
111,09/29/2018,19:01:02,Withdrawal,$     2.50,$   200.00,Approved
112,09/29/2018,19:45:22,Withdrawal,$     2.50,$    20.00,Approved
113,09/29/2018,19:46:07,Withdrawal,$     2.50,$    40.00,Approved
115,09/29/2018,18:51:08,Withdrawal,$     2.50,$   120.00,Approved
116,09/29/2018,20:12:56,Withdrawal,$     2.50,$   100.00,Approved
117,09/29/2018,22:05:30,Withdrawal,$     2.50,$    60.00,Approved
118,09/29/2018,21:33:14,Withdrawal,$     0.00,$    60.00,Insufficient Funds
119,09/30/2018,10:43:20,Withdrawal,$     2.50,$    60.00,Approved
120,09/29/2018,22:04:33,Withdrawal,$     2.50,$    60.00,Approved
121,09/30/2018,16:59:21,Withdrawal,$     2.50,$    20.00,Approved
122,09/29/2018,22:31:19,Withdrawal,$     2.50,$    20.00,Approved
124,09/30/2018,15:00:22,Withdrawal,$     2.50,$    80.00,Approved
125,10/01/2018,19:40:45,Withdrawal,$     2.50,$    60.00,Approved
127,10/01/2018,19:42:32,Withdrawal,$     2.50,$   160.00,Approved
128,10/01/2018,18:35:12,Withdrawal,$     2.50,$    20.00,Approved
129,10/01/2018,20:03:32,Withdrawal,$     2.50,$    40.00,Approved
132,10/02/2018,09:41:34,Withdrawal,$     2.50,$   380.00,Approved
133,10/02/2018,11:05:16,Withdrawal,$     2.50,$   120.00,Approved
134,10/02/2018,15:30:56,Withdrawal,$     2.50,$    60.00,Approved
135,10/02/2018,11:06:58,Withdrawal,$     2.50,$   100.00,Approved
136,10/02/2018,16:45:32,Withdrawal,$     2.50,$    40.00,Approved
137,10/02/2018,15:32:12,Withdrawal,$     2.50,$    60.00,Approved
138,10/02/2018,17:31:36,Withdrawal,$     0.00,$   100.00,Insufficient Funds
139,10/02/2018,17:32:53,Withdrawal,$     0.00,$    20.00,Insufficient Funds
140,10/02/2018,17:32:17,Withdrawal,$     0.00,$    40.00,Insufficient Funds
141,10/02/2018,09:42:27,Withdrawal,$     2.50,$    40.00,Approved
143,10/02/2018,18:35:54,Withdrawal,$     2.50,$    40.00,Approved
144,10/03/2018,14:01:21,Withdrawal,$     2.50,$    20.00,Approved
145,10/03/2018,16:21:26,Withdrawal,$     2.50,$    60.00,Approved
149,10/04/2018,11:09:37,Withdrawal,$     2.50,$    40.00,Approved
150,10/04/2018,14:50:39,Withdrawal,$     2.50,$    20.00,Approved
152,10/04/2018,16:23:45,Withdrawal,$     2.50,$    60.00,Approved
154,10/04/2018,12:46:49,Withdrawal,$     2.50,$    60.00,Approved
155,10/05/2018,11:00:44,Withdrawal,$     2.50,$    20.00,Approved
156,10/05/2018,10:59:58,Withdrawal,$     0.00,$    20.00,Bad Transaction
157,10/05/2018,15:25:56,Withdrawal,$     2.50,$    40.00,Approved
159,10/05/2018,11:37:44,Withdrawal,$     2.50,$    20.00,Approved
160,10/05/2018,22:11:40,Withdrawal,$     2.50,$    20.00,Approved
162,10/05/2018,22:12:38,Withdrawal,$     2.50,$    20.00,Approved
163,10/06/2018,11:03:04,Withdrawal,$     2.50,$    20.00,Approved
164,10/06/2018,13:11:04,Withdrawal,$     2.50,$   120.00,Approved
165,10/06/2018,14:09:31,Withdrawal,$     2.50,$    40.00,Approved
166,10/06/2018,16:59:51,Withdrawal,$     0.00,$    80.00,Bad Pin
168,10/06/2018,16:05:29,Withdrawal,$     2.50,$   400.00,Approved
170,10/06/2018,17:01:29,Withdrawal,$     0.00,$    80.00,Bad Pin
171,10/07/2018,11:00:15,Withdrawal,$     2.50,$    20.00,Approved
172,10/06/2018,17:00:37,Withdrawal,$     0.00,$    80.00,Bad Pin
173,10/07/2018,11:06:33,Withdrawal,$     2.50,$   400.00,Approved
175,10/07/2018,11:07:26,Withdrawal,$     2.50,$   140.00,Approved
178,10/08/2018,12:23:08,Withdrawal,$     2.50,$   200.00,Approved
179,10/08/2018,15:33:27,Withdrawal,$     2.50,$    20.00,Approved
180,10/08/2018,12:24:09,Withdrawal,$     2.50,$   100.00,Approved
181,10/08/2018,14:30:18,Withdrawal,$     2.50,$    20.00,Approved
183,10/08/2018,17:12:47,Withdrawal,$     0.00,$    20.00,Bad Pin
185,10/09/2018,17:36:10,Withdrawal,$     2.50,$   100.00,Approved
186,10/09/2018,20:24:27,Withdrawal,$     2.50,$    60.00,Approved
189,10/08/2018,17:13:24,Withdrawal,$     2.50,$    20.00,Approved
190,10/10/2018,13:08:57,Withdrawal,$     2.50,$   120.00,Approved
191,10/10/2018,11:41:28,Withdrawal,$     2.50,$    20.00,Approved
192,10/10/2018,19:42:18,Withdrawal,$     2.50,$   120.00,Approved
193,10/10/2018,11:14:41,Withdrawal,$     2.50,$   100.00,Approved
195,10/11/2018,19:33:22,Withdrawal,$     2.50,$    20.00,Approved
196,10/11/2018,19:56:23,Withdrawal,$     2.50,$    20.00,Approved
198,10/11/2018,13:28:24,Withdrawal,$     2.50,$    60.00,Approved
199,10/11/2018,21:02:20,Withdrawal,$     2.50,$   200.00,Approved
201,10/12/2018,12:05:10,Withdrawal,$     2.50,$    60.00,Approved
202,10/12/2018,15:23:10,Withdrawal,$     0.00,$   280.00,Insufficient Funds
204,10/12/2018,16:46:06,Withdrawal,$     2.50,$   200.00,Approved
206,10/12/2018,16:47:11,Withdrawal,$     2.50,$   100.00,Approved
207,10/13/2018,11:56:21,Withdrawal,$     2.50,$    60.00,Approved
208,10/12/2018,20:32:57,Withdrawal,$     2.50,$    40.00,Approved
210,10/13/2018,12:00:15,Withdrawal,$     2.50,$   300.00,Approved
211,10/13/2018,12:01:43,Withdrawal,$     0.00,$    20.00,Bad Transaction
212,10/13/2018,17:17:10,Withdrawal,$     2.50,$    60.00,Approved
214,10/13/2018,19:14:38,Withdrawal,$     2.50,$    20.00,Approved
216,10/13/2018,19:41:19,Withdrawal,$     2.50,$   100.00,Approved
218,10/14/2018,11:28:25,Withdrawal,$     2.50,$   100.00,Approved
219,10/13/2018,17:18:08,Withdrawal,$     2.50,$    20.00,Approved
220,10/14/2018,14:01:23,Withdrawal,$     2.50,$   300.00,Approved
221,10/14/2018,14:03:59,Withdrawal,$     0.00,$    20.00,Bad Transaction
222,10/14/2018,14:03:15,Withdrawal,$     0.00,$    20.00,Insufficient Funds
223,10/14/2018,14:05:03,Withdrawal,$     2.50,$    20.00,Approved
225,10/14/2018,14:02:32,Withdrawal,$     2.50,$    20.00,Approved
227,10/15/2018,14:03:15,Withdrawal,$     2.50,$    20.00,Approved
228,10/16/2018,19:51:20,Withdrawal,$     2.50,$    20.00,Approved
229,10/16/2018,19:49:24,Withdrawal,$     2.50,$    20.00,Approved
230,10/15/2018,15:19:48,Withdrawal,$     2.50,$    60.00,Approved
231,10/16/2018,20:05:14,Withdrawal,$     2.50,$    40.00,Approved
234,10/17/2018,11:31:39,Withdrawal,$     0.00,$   380.00,Bad Pin
235,10/17/2018,11:32:40,Withdrawal,$     2.50,$   400.00,Approved
237,10/17/2018,20:01:25,Withdrawal,$     2.50,$    60.00,Approved
238,10/17/2018,16:36:03,Withdrawal,$     2.50,$   120.00,Approved
240,10/17/2018,15:12:14,Withdrawal,$     2.50,$    40.00,Approved
242,10/17/2018,20:32:49,Withdrawal,$     2.50,$    40.00,Approved
243,10/18/2018,16:07:48,Withdrawal,$     2.50,$   300.00,Approved
245,10/19/2018,11:45:38,Withdrawal,$     2.50,$    80.00,Approved
246,10/19/2018,14:03:05,Withdrawal,$     0.00,$   300.00,Bad Pin
249,10/19/2018,14:04:05,Withdrawal,$     0.00,$   300.00,Bad Pin
250,10/19/2018,15:21:20,Withdrawal,$     2.50,$   200.00,Approved
251,10/19/2018,13:26:43,Withdrawal,$     2.50,$   100.00,Approved
252,10/19/2018,14:05:10,Withdrawal,$     2.50,$   300.00,Approved
253,10/19/2018,19:51:20,Withdrawal,$     2.50,$    40.00,Approved
256,10/19/2018,22:35:30,Withdrawal,$     2.50,$    20.00,Approved
257,10/20/2018,14:16:30,Withdrawal,$     2.50,$    40.00,Approved
258,10/19/2018,21:35:13,Withdrawal,$     0.00,$    80.00,Bad Card
259,10/20/2018,17:35:33,Withdrawal,$     2.50,$    60.00,Approved
260,10/19/2018,22:36:33,Withdrawal,$     2.50,$    40.00,Approved
262,10/19/2018,22:23:00,Withdrawal,$     2.50,$    20.00,Approved
263,10/20/2018,15:56:54,Withdrawal,$     2.50,$   100.00,Approved
265,10/21/2018,18:31:15,Withdrawal,$     2.50,$   160.00,Approved
266,10/21/2018,09:47:48,Withdrawal,$     2.50,$    20.00,Approved
268,10/22/2018,10:14:28,Withdrawal,$     2.50,$   100.00,Approved
269,10/22/2018,09:45:57,Withdrawal,$     2.50,$   100.00,Approved
270,10/22/2018,18:21:18,Withdrawal,$     2.50,$   400.00,Approved
273,10/22/2018,19:29:50,Withdrawal,$     2.50,$    20.00,Approved
276,10/23/2018,08:22:18,Withdrawal,$     2.50,$   200.00,Approved
278,10/24/2018,13:17:16,Withdrawal,$     2.50,$   100.00,Approved
279,10/24/2018,20:30:05,Withdrawal,$     2.50,$    20.00,Approved
280,10/24/2018,12:50:05,Withdrawal,$     2.50,$    80.00,Approved
282,10/24/2018,14:06:54,Withdrawal,$     2.50,$   400.00,Approved
283,10/25/2018,14:54:08,Withdrawal,$     2.50,$   120.00,Approved
284,10/25/2018,11:32:20,Withdrawal,$     2.50,$   160.00,Approved
285,10/25/2018,16:28:29,Withdrawal,$     2.50,$    40.00,Approved
287,10/25/2018,15:26:31,Withdrawal,$     2.50,$   100.00,Approved
288,10/25/2018,19:05:42,Withdrawal,$     2.50,$   100.00,Approved
291,10/26/2018,19:40:43,Withdrawal,$     2.50,$    40.00,Approved
293,10/26/2018,18:09:43,Withdrawal,$     2.50,$   320.00,Approved
295,10/27/2018,17:35:50,Withdrawal,$     2.50,$    20.00,Approved
296,10/27/2018,14:25:36,Withdrawal,$     2.50,$   200.00,Approved
298,10/27/2018,18:54:26,Withdrawal,$     2.50,$    60.00,Approved
299,10/28/2018,14:06:13,Withdrawal,$     2.50,$    60.00,Approved
301,10/28/2018,19:31:45,Withdrawal,$     2.50,$    60.00,Approved
302,10/28/2018,16:30:32,Withdrawal,$     2.50,$    60.00,Approved
304,10/29/2018,08:34:43,Withdrawal,$     2.50,$   140.00,Approved
306,10/29/2018,10:20:22,Withdrawal,$     2.50,$    80.00,Approved
308,10/29/2018,19:26:59,Withdrawal,$     2.50,$    40.00,Approved
310,10/30/2018,11:06:52,Withdrawal,$     2.50,$   140.00,Approved
313,10/30/2018,21:40:01,Withdrawal,$     2.50,$   120.00,Approved
314,10/31/2018,17:38:19,Withdrawal,$     2.50,$    80.00,Approved
315,10/31/2018,17:39:44,Withdrawal,$     2.50,$    40.00,Approved
316,10/31/2018,18:45:43,Withdrawal,$     2.50,$    20.00,Approved
318,10/31/2018,17:01:41,Withdrawal,$     2.50,$    20.00,Approved
320,10/31/2018,20:21:29,Withdrawal,$     2.50,$    20.00,Approved
321,11/01/2018,15:55:06,Withdrawal,$     2.50,$   400.00,Approved
322,11/01/2018,15:56:13,Withdrawal,$     2.50,$   400.00,Approved
323,10/31/2018,19:13:55,Withdrawal,$     2.50,$   200.00,Approved
324,11/01/2018,15:57:00,Withdrawal,$     0.00,$   400.00,Limit Exceeded
325,11/01/2018,17:14:24,Withdrawal,$     2.50,$    40.00,Approved
326,11/01/2018,16:41:48,Withdrawal,$     2.50,$    60.00,Approved
328,11/01/2018,19:48:00,Withdrawal,$     2.50,$    20.00,Approved
329,11/01/2018,21:24:26,Withdrawal,$     2.50,$    40.00,Approved
331,11/02/2018,12:44:15,Withdrawal,$     2.50,$    60.00,Approved
332,11/02/2018,15:01:18,Withdrawal,$     2.50,$    40.00,Approved
334,11/02/2018,15:16:28,Withdrawal,$     2.50,$   240.00,Approved
336,11/02/2018,15:15:02,Withdrawal,$     2.50,$   400.00,Approved
337,11/02/2018,21:07:38,Withdrawal,$     2.50,$    60.00,Approved
339,11/02/2018,14:54:27,Withdrawal,$     2.50,$   100.00,Approved
341,11/02/2018,22:47:54,Withdrawal,$     2.50,$    20.00,Approved
342,11/03/2018,15:37:15,Withdrawal,$     2.50,$   100.00,Approved
343,11/03/2018,15:12:22,Withdrawal,$     2.50,$   100.00,Approved
344,11/03/2018,19:49:30,Withdrawal,$     2.50,$    80.00,Approved
345,11/02/2018,21:54:44,Withdrawal,$     2.50,$   100.00,Approved
346,11/03/2018,20:40:37,Withdrawal,$     2.50,$    20.00,Approved
349,11/04/2018,14:27:04,Withdrawal,$     2.50,$    60.00,Approved
350,11/04/2018,15:10:52,Withdrawal,$     2.50,$    20.00,Approved
351,11/04/2018,15:43:13,Withdrawal,$     2.50,$   100.00,Approved
352,11/04/2018,15:10:13,Withdrawal,$     0.00,$    20.00,Bad Card
353,11/04/2018,17:55:15,Withdrawal,$     2.50,$    40.00,Approved
354,11/04/2018,16:26:44,Withdrawal,$     2.50,$    20.00,Approved
355,11/04/2018,19:04:07,Withdrawal,$     2.50,$   200.00,Approved
358,11/03/2018,17:31:28,Withdrawal,$     2.50,$    40.00,Approved
359,11/05/2018,18:48:46,Withdrawal,$     2.50,$    80.00,Approved
360,11/05/2018,09:32:34,Withdrawal,$     2.50,$    20.00,Approved
361,11/05/2018,14:05:13,Withdrawal,$     2.50,$    40.00,Approved
362,11/06/2018,09:00:55,Withdrawal,$     2.50,$   200.00,Approved
363,11/06/2018,15:41:12,Withdrawal,$     2.50,$    20.00,Approved
366,11/06/2018,14:00:31,Withdrawal,$     2.50,$   400.00,Approved
368,11/06/2018,20:04:12,Withdrawal,$     2.50,$    80.00,Approved
369,11/07/2018,16:03:47,Withdrawal,$     0.00,$    20.00,Insufficient Funds
370,11/07/2018,17:01:30,Withdrawal,$     2.50,$    20.00,Approved
371,11/07/2018,16:05:12,Withdrawal,$     2.50,$    20.00,Approved
375,11/08/2018,17:30:49,Withdrawal,$     2.50,$   100.00,Approved
376,11/08/2018,08:04:29,Withdrawal,$     2.50,$   400.00,Approved
377,11/08/2018,17:14:40,Withdrawal,$     2.50,$   200.00,Approved
378,11/08/2018,20:43:11,Withdrawal,$     2.50,$   300.00,Approved
379,11/09/2018,10:09:28,Withdrawal,$     2.50,$    20.00,Approved
380,11/08/2018,21:53:41,Withdrawal,$     2.50,$    80.00,Approved
381,11/09/2018,10:10:37,Withdrawal,$     2.50,$    20.00,Approved
382,11/09/2018,15:06:40,Withdrawal,$     2.50,$   100.00,Approved
384,11/09/2018,15:05:27,Withdrawal,$     2.50,$   400.00,Approved
385,11/09/2018,17:22:14,Withdrawal,$     2.50,$    40.00,Approved
386,11/09/2018,18:22:17,Withdrawal,$     2.50,$   340.00,Approved
388,11/09/2018,20:55:56,Withdrawal,$     0.00,$   100.00,Not Accepted
389,11/09/2018,17:40:16,Withdrawal,$     2.50,$   100.00,Approved
390,11/09/2018,22:03:03,Withdrawal,$     2.50,$    80.00,Approved
391,11/09/2018,20:57:44,Withdrawal,$     2.50,$    40.00,Approved
393,11/09/2018,22:12:14,Withdrawal,$     2.50,$    60.00,Approved
394,11/10/2018,13:09:16,Withdrawal,$     2.50,$    20.00,Approved
395,11/10/2018,15:56:38,Withdrawal,$     2.50,$    80.00,Approved
396,11/09/2018,22:13:42,Withdrawal,$     2.50,$    20.00,Approved
397,11/10/2018,12:37:27,Withdrawal,$     2.50,$    80.00,Approved
399,11/10/2018,21:43:18,Withdrawal,$     2.50,$    20.00,Approved
400,11/11/2018,13:57:40,Withdrawal,$     2.50,$    80.00,Approved
401,11/11/2018,14:59:46,Withdrawal,$     2.50,$    40.00,Approved
402,11/10/2018,21:56:45,Withdrawal,$     2.50,$    60.00,Approved
404,11/11/2018,20:14:30,Withdrawal,$     2.50,$   200.00,Approved
406,11/12/2018,14:42:39,Withdrawal,$     2.50,$   100.00,Approved
407,11/12/2018,15:53:02,Withdrawal,$     2.50,$    20.00,Approved
408,11/12/2018,15:52:14,Withdrawal,$     0.00,$    20.00,Bad Pin
409,11/12/2018,18:22:20,Withdrawal,$     2.50,$    80.00,Approved
411,11/12/2018,20:13:04,Withdrawal,$     2.50,$   120.00,Approved
412,11/13/2018,10:14:59,Withdrawal,$     2.50,$   180.00,Approved
414,11/13/2018,14:46:45,Withdrawal,$     2.50,$    60.00,Approved
416,11/13/2018,17:20:25,Withdrawal,$     2.50,$   400.00,Approved
417,11/14/2018,10:24:53,Withdrawal,$     2.50,$    20.00,Approved
419,11/14/2018,16:30:05,Withdrawal,$     2.50,$    40.00,Approved
421,11/14/2018,17:34:11,Withdrawal,$     2.50,$   100.00,Approved
422,11/14/2018,17:28:04,Withdrawal,$     2.50,$    80.00,Approved
424,11/15/2018,12:52:21,Withdrawal,$     2.50,$   140.00,Approved
425,11/15/2018,13:57:31,Withdrawal,$     2.50,$   100.00,Approved
426,11/15/2018,17:09:18,Withdrawal,$     0.00,$   400.00,Bad Transaction
427,11/15/2018,19:57:32,Withdrawal,$     2.50,$   100.00,Approved
429,11/15/2018,19:19:45,Withdrawal,$     2.50,$    40.00,Approved
430,11/15/2018,20:06:41,Withdrawal,$     2.50,$   200.00,Approved
432,11/15/2018,21:40:34,Withdrawal,$     2.50,$    40.00,Approved
434,11/16/2018,09:04:49,Withdrawal,$     2.50,$    80.00,Approved
435,11/16/2018,13:25:38,Withdrawal,$     2.50,$   100.00,Approved
436,11/16/2018,16:09:31,Withdrawal,$     2.50,$    40.00,Approved
437,11/16/2018,18:46:42,Withdrawal,$     2.50,$    60.00,Approved
438,11/16/2018,20:09:13,Withdrawal,$     2.50,$    20.00,Approved
439,11/16/2018,20:08:11,Withdrawal,$     2.50,$    20.00,Approved
440,11/16/2018,20:19:36,Withdrawal,$     0.00,$    20.00,Bad Transaction
441,11/16/2018,12:17:25,Withdrawal,$     2.50,$    40.00,Approved
444,11/16/2018,21:06:24,Withdrawal,$     2.50,$    20.00,Approved
445,11/16/2018,20:21:35,Withdrawal,$     2.50,$    40.00,Approved
447,11/17/2018,12:20:05,Withdrawal,$     2.50,$   200.00,Approved
448,11/17/2018,12:21:34,Withdrawal,$     2.50,$    20.00,Approved
449,11/17/2018,15:02:46,Withdrawal,$     2.50,$    20.00,Approved
450,11/17/2018,14:44:38,Withdrawal,$     2.50,$    60.00,Approved
451,11/17/2018,15:03:40,Withdrawal,$     2.50,$    20.00,Approved
452,11/17/2018,10:09:21,Withdrawal,$     2.50,$    20.00,Approved
453,11/17/2018,19:10:45,Withdrawal,$     2.50,$    80.00,Approved
454,11/17/2018,17:30:20,Withdrawal,$     2.50,$   200.00,Approved
455,11/17/2018,20:44:24,Withdrawal,$     2.50,$    20.00,Approved
458,11/18/2018,16:55:29,Withdrawal,$     2.50,$    20.00,Approved
459,11/18/2018,18:08:45,Withdrawal,$     2.50,$   100.00,Approved
462,11/19/2018,10:39:11,Withdrawal,$     2.50,$   140.00,Approved
463,11/19/2018,18:29:45,Withdrawal,$     2.50,$   100.00,Approved
466,11/20/2018,19:56:28,Withdrawal,$     2.50,$    20.00,Approved
467,11/20/2018,20:19:13,Withdrawal,$     2.50,$    20.00,Approved
468,11/20/2018,20:26:01,Withdrawal,$     2.50,$    40.00,Approved
469,11/20/2018,20:27:20,Withdrawal,$     2.50,$    20.00,Approved
470,11/20/2018,20:37:05,Withdrawal,$     2.50,$    40.00,Approved
473,11/20/2018,21:11:01,Withdrawal,$     2.50,$    20.00,Approved
474,11/20/2018,21:23:26,Withdrawal,$     0.00,$    40.00,Bad Transaction
475,11/17/2018,20:39:25,Withdrawal,$     2.50,$   100.00,Approved
476,11/20/2018,21:24:03,Withdrawal,$     2.50,$    20.00,Approved
477,11/21/2018,10:16:40,Withdrawal,$     2.50,$    20.00,Approved
478,11/17/2018,20:43:38,Withdrawal,$     2.50,$    20.00,Approved
479,11/21/2018,16:34:16,Withdrawal,$     2.50,$    80.00,Approved
480,11/21/2018,16:51:27,Withdrawal,$     2.50,$   200.00,Approved
481,11/21/2018,17:33:43,Withdrawal,$     0.00,$   120.00,Not Accepted
482,11/21/2018,17:34:47,Withdrawal,$     2.50,$   120.00,Approved
483,11/21/2018,20:30:16,Withdrawal,$     2.50,$    20.00,Approved
486,11/21/2018,21:20:56,Withdrawal,$     2.50,$    40.00,Approved
487,11/22/2018,13:02:38,Withdrawal,$     2.50,$    60.00,Approved
488,11/22/2018,14:33:12,Withdrawal,$     2.50,$    40.00,Approved
489,11/22/2018,14:34:12,Withdrawal,$     2.50,$   340.00,Approved
490,11/22/2018,14:35:10,Withdrawal,$     2.50,$   100.00,Approved
491,11/22/2018,19:52:23,Withdrawal,$     2.50,$    80.00,Approved
494,11/18/2018,18:07:51,Withdrawal,$     2.50,$   400.00,Approved
495,11/23/2018,18:14:01,Withdrawal,$     2.50,$    60.00,Approved
496,11/23/2018,18:30:01,Withdrawal,$     2.50,$    80.00,Approved
499,11/23/2018,21:22:29,Withdrawal,$     2.50,$    20.00,Approved
500,11/23/2018,22:47:55,Withdrawal,$     2.50,$    40.00,Approved
501,11/24/2018,10:34:28,Withdrawal,$     2.50,$    60.00,Approved
502,11/24/2018,13:30:49,Withdrawal,$     2.50,$    60.00,Approved
503,11/24/2018,14:22:34,Withdrawal,$     2.50,$    20.00,Approved
